"brand_name","model_name","bkl_type"
"3M","M150FDP (Noir)","CCFL"
"3M","11-91375-227","CCFL"
"3M","M170FDP (Noir)","CCFL"
"3M","MicroTouch M150FPD (Beige)","CCFL"
"3M","11-81372-129 / 11-81375-227","CCFL"
"3M","M150FDP (Noir)","CCFL"
"3M","11-91375-225","CCFL"
"3M","M1866PW","LED"
"3M","11-81375-225","CCFL"
"3M","M2467PW","LED"
"3M","M170FDP (Noir)","CCFL"
"3M","MicroTouch M170FPD (Beige)","CCFL"
"3M","98-0003-3726-5","LED"
"3M","M2167PW","LED"
"ACER","ET.EV3WE.E18","CCFL"
"ACER","G195HQVBb","CCFL"
"ACER","ET.XG5HE.B01","CCFL"
"ACER","G245HQbid","CCFL"
"ACER","ET.UG5HE.019","CCFL"
"ACER","A231HLAbmd","LED"
"ACER","ET.WA1HE.021","LED"
"ACER","A221HQLbmd","LED"
"ACER","GR235Hbmii","LED"
"ACER","ET.VG5HE.009","LED"
"ACER","KG271U","LED"
"ACER","M200HDL","LED"
"ACER","EM.MAN0C.006","LED"
"ACER","B223PWLymdr","LED"
"ACER","AL1913W","CCFL"
"ACER","UM.WG6EE.B03","LED"
"ACER","UM.WG6EE.B01","LED"
"ACER","G226HQLBbd","LED"
"ACER","ET.VA1HE.A02","LED"
"ACER","V193HQVBb","CCFL"
"ACER","ET.XV3HE.B06","CCFL"
"ACER","V223HQVb","CCFL"
"ACER","ET.WV3HE.017","CCFL"
"ACER","V223WEObmd","CCFL"
"ACER","ET.XA1HE.032","LED"
"ACER","A191HQLbmd","LED"
"ACER","ET.VB3HE.008","LED"
"ACER","B233HLOymdh","LED"
"ACER","UM.EB3EE.001","LED"
"ACER","ET.EB3WE.024","LED"
"ACER","B223WLOwmdr","LED"
"ACER","ET.EB3WE.022","LED"
"ACER","B223WLOymdr","LED"
"ACER","ET.FB3HE.D04","LED"
"ACER","B243HLDOwmdr","LED"
"ACER","ET.FD1HE.015","CCFL"
"ACER","HR274Hbmii","LED"
"ACER","ET.HH4HE.013","LED"
"ACER","G225HQVbd","CCFL"
"ACER","ET.WG5HE.012","CCFL"
"ACER","EV.MB308.006","LED"
"ACER","AT2358ML","LED"
"ACER","DX241Hbmiaz","CCFL"
"ACER","EM.MBV08.001","LED"
"ACER","G245HQtbid","CCFL"
"ACER","N230HML","LED"
"ACER","ET.DS0HE.B06","LED"
"ACER","S200HLBbd","LED"
"ACER","EM.MC508.001","LED"
"ACER","M222HQML","LED"
"ACER","ET.HB3HE.009","LED"
"ACER","B273HLOymidh","LED"
"ACER","ET.DV3HE.A32","LED"
"ACER","V203HLAObmd","LED"
"ACER","ET.VG6HE.B01","LED"
"ACER","AL1916s","CCFL"
"ACER","GD245HQAtbid","CCFL"
"ACER","ET.UG5HE.A08","CCFL"
"ACER","G236HLBbd","LED"
"ACER","ET.BB3RE.D07","CCFL"
"ACER","B173DOwmdh","CCFL"
"ACER","ET.FB3HE.A31","LED"
"ACER","B243HLAOwmdr","LED"
"ACER","ET.FB3HE.C04","LED"
"ACER","B243HLCOwmdr","LED"
"ACER","ET.FB3HE.D01","LED"
"ACER","B243HLDOymdr","LED"
"ACER","ET.CB3RE.010","LED"
"ACER","B193LOymdr","LED"
"ACER","ET.CB3RE.012","LED"
"ACER","B193LOwmdr","LED"
"ACER","P246HAbmibd","CCFL"
"ACER","ET.FP6HE.A05","CCFL"
"ACER","ET.WV3HE.021","CCFL"
"ACER","V223HQVbd","CCFL"
"ACER","V193DObd","CCFL"
"ACER","ET.CV3RE.D31","CCFL"
"ACER","AT2326ML","LED"
"ACER","EV.MAM0C.006","LED"
"ACER","AT2026ML","LED"
"ACER","EV.MAH0C.006","LED"
"ACER","CP3271KP","LED"
"ACER","ConceptD CP3","LED"
"ACER","S231HLAbid","LED"
"ACER","UM.HC1EE.P01","LED"
"ACER","CP7271KP","LED"
"ACER","HN274bmiid","LED"
"ACER","UM.HS1EE.A01","LED"
"ACER","ET.HS1HE.A01","LED"
"ACER","S271HLA","LED"
"ACER","S271HLAbid","LED"
"ACER","V243HLDObmd","LED"
"ACER","ET.FV3HE.D09","LED"
"ACER","S230HLBbd","LED"
"ACER","ET.VS0HE.B05","LED"
"ACER","UM.VS0EE.B09","LED"
"ACER","S232HLCbid","LED"
"ACER","ET.VS2HE.C01","LED"
"ACER","ET.HH4HE.005","LED"
"ACER","H274HLbmd","LED"
"ACER","ET.FS0HE.005","LED"
"ACER","S240HLbid","LED"
"ACER","EM.MC608.001","LED"
"ACER","M242HML","LED"
"ACER","ConceptD CP7","LED"
"ACER","UM.HC1EE.P04","LED"
"ACER","ET.VS5HE.001","LED"
"ACER","S235HLbii","LED"
"ACER","ET.FP6HE.019","LED"
"ACER","P246HLbmid","LED"
"ACER","ET.DG5HE.007","CCFL"
"ACER","G205HVbd","CCFL"
"ACER","ET.WS2HE.C01","LED"
"ACER","S222HQLCbid","LED"
"ACER","ET.FB3HE.A28","CCFL"
"ACER","B243HAOymdr","CCFL"
"ACER","S191HQLFb","LED"
"ACER","ET.XS1HE.F01","LED"
"ACER","GR235HAbmii","LED"
"ACER","ET.VG5HE.A01","LED"
"ACER","S191HQLGb","LED"
"ACER","ET.XS1HE.G01","LED"
"ACER","S242HLCbid","LED"
"ACER","ET.FS2HE.C01","LED"
"ACER","ET.VS5HE.A01","LED"
"ACER","S235HLAbii","LED"
"ACER","ET.FS2HE.C01","CCFL"
"ACER","S242HLCqbid","CCFL"
"ACER","S220HQLBrbd","CCFL"
"ACER","ET.FP6HE.A01","CCFL"
"ACER","P246HAbd","CCFL"
"ACER","ET.CB3RE.D15","CCFL"
"ACER","B193DOymdr","CCFL"
"ACER","ET.HV3HE.001","LED"
"ACER","V273HLObmid","LED"
"ACER","ET.CV3WE.A17","LED"
"ACER","V193WLAObmd","LED"
"ACER","ET.HH4HE.B04","LED"
"ACER","HN274HBbmiiid","LED"
"ACER","BW237Q","LED"
"ACER","BW237Qbmiprx","LED"
"ACER","XF270HUCbmiiprx","LED"
"ACER","XF270HUC","LED"
"ACER","UM.HX0EE.C06","LED"
"ACER","XV273Xbmiiprzx","LED"
"ACER","Nitro XV273X","LED"
"ACER","UM.HX3EE.X01","LED"
"ACER","UM.HG6EE.L05","LED"
"ACER","G276HLL","LED"
"ACER","G276HLLbmidx","LED"
"ACER","UM.HS0EE.A05","LED"
"ACER","SA270A","LED"
"ACER","SA270Abmi","LED"
"ACER","UM.QS0EE.A04","LED"
"ACER","SA240YA","LED"
"ACER","SA240YAbmi","LED"
"ACER","EI431CRPbmiiipx","LED"
"ACER","Nitro EI1","LED"
"ACER","UM.ME1EE.P01","LED"
"ACER","XV273KPbmiipprzx","LED"
"ACER","Nitro XV273KP","LED"
"ACER","UM.HX3EE.P09","LED"
"ACER","UM.WS0EE.A01","LED"
"ACER","SA220QA","LED"
"ACER","SA270Bbmipux","LED"
"ACER","SA270B","LED"
"ACER","UM.HS0EE.B01","LED"
"ACER","SA240YBbmipux","LED"
"ACER","SA240YB","LED"
"ACER","UM.QS0EE.B01","LED"
"ACER","UM.QS0EE.B04","LED"
"ACER","SA220QAbi","LED"
"ACER","M.HS0EE.A04","LED"
"ACER","UM.HS0EE.A01","LED"
"ACER","SA270A","LED"
"ACER","SA270Abi","LED"
"ACER","XV253QXbmiiprzx","LED"
"ACER","Nitro XV253QX","LED"
"ACER","UM.KX3EE.X04","LED"
"ACER","KA240Ybi","LED"
"ACER","KA240Y","LED"
"ACER","UM.QX0EE.005","LED"
"ACER","EB321HQAbi","LED"
"ACER","EB321HQA","LED"
"ACER","UM.JE1EE.A05","LED"
"ACER","ED272Abix","LED"
"ACER","R270si","LED"
"ACER","R270","LED"
"ACER","UM.HR0EE.011","LED"
"ACER","V246HQLbi","LED"
"ACER","V246HQL","LED"
"ACER","UM.UV6EE.005","LED"
"ACER","ED272A","LED"
"ACER","QG241Ybii","LED"
"ACER","V277Kbmiipx","LED"
"ACER","V277K","LED"
"ACER","UM.HV7EE.01","LED"
"ACER","CG437KP","LED"
"ACER","Predator CG7","LED"
"ACER","UM.HC7EE.P01","LED"
"ACER","UM.HE2EE.A01","LED"
"ACER","XV272P","LED"
"ACER","UM.HX2EE.P07","LED"
"ACER","UM.SE1EE.P01","LED"
"ACER","Nitro EI491CRP","LED"
"ACER","EI491CRPbmiiipx","LED"
"ACER","XB273Pbmiprzx","LED"
"ACER","XB273P","LED"
"ACER","UM.HX3EE.P18","LED"
"ACER","UM.HB2EE.013","LED"
"ACER","CB272","LED"
"ACER","CB272smiprx","LED"
"ACER","R271Bwmix","LED"
"ACER","CB272bir","LED"
"ACER","CB272","LED"
"ACER","UM.HB2EE.004","LED"
"ACER","UM.QX2EE.P01","LED"
"ACER","XV242YP","LED"
"ACER","XV242YPbmiiprx","LED"
"ACER","B277Dbmiprczx","LED"
"ACER","B196Lwmdpr","LED"
"ACER","UM.CB6EE.016","LED"
"ACER","UM.WX1EE.001","LED"
"ACER","KA221Qbid","LED"
"ACER","UM.HK2EE.H01","LED"
"ACER","KB272HLH","LED"
"ACER","KB272HLHbi","LED"
"ACER","KA242Ybi","LED"
"ACER","KA242Y","LED"
"ACER","UM.QX2EE.005","LED"
"ACER","B277D","LED"
"ACER","UM.HB7EE.D01","LED"
"ACER","UM.KX3EE.P01","LED"
"ACER","Predator XN253QP","LED"
"ACER","XN253QPbmiprzx","LED"
"ACER","UM.HE3EE.P01","LED"
"ACER","ED273URP","LED"
"ACER","ED273URPbidpx","LED"
"ACER","UM.HE0EE.X01","LED"
"ACER","ED270X","LED"
"ACER","CB272Asmiprx","LED"
"ACER","CB272A","LED"
"ACER","UM.HB2EE.A01","LED"
"ACER","CB342CKsmiiphzx","LED"
"ACER","CB342CK","LED"
"ACER","UM.CB2EE.001","LED"
"ACER","XB273GXbmiiprzx","LED"
"ACER","Predator XB273GX","LED"
"ACER","UM.HX3EE.X07","LED"
"ACER","KA272bi","LED"
"ACER","KA272","LED"
"ACER","UM.HX2EE.009","LED"
"ACER","ED270Xbiipx","LED"
"ACER","XR382CQKbmijqphuzx","LED"
"ACER","V246HQLCbmid","LED"
"ACER","V246HQLC","LED"
"ACER","UM.UV6EE.C04","LED"
"ACER","XR382CQK","LED"
"ACER","UM.TX2EE.009","LED"
"ACER","ED276Ubiipx","LED"
"ACER","ED276U","LED"
"ACER","UM.HE6EE.001","LED"
"ACER","UM.PX1EE.A01","LED"
"ACER","KG281KA","LED"
"ACER","KG281KAbmiipx","LED"
"ACER","UM.HV7EE.010","LED"
"ACER","V277U","LED"
"ACER","V277Ubmiipx","LED"
"ACER","UM.UX1EE.P01","LED"
"ACER","KG241QP","LED"
"ACER","KG241QPbiip","LED"
"ACER","EK240YAbif","LED"
"ACER","VG252QPbmiipx","LED"
"ACER","Nitro VG252QP","LED"
"ACER","UM.KV2EE.P01","LED"
"ACER","VG252QXbmiipx","LED"
"ACER","Nitro VG252QX","LED"
"ACER","UM.KV2EE.X01","LED"
"ACER","VG272Xbmiipx","LED"
"ACER","Nitro VG272X","LED"
"ACER","UM.HV2EE.X01","LED"
"ACER","EK240YA","LED"
"ACER","UM.QE0EE.A05","LED"
"ACER","ED273URP","LED"
"ACER","ED273URPwidpx","LED"
"ACER","UM.QV6EE.010","LED"
"ACER","UM.QV6EE.011","LED"
"ACER","V246HYL","LED"
"ACER","V246HYLbdp","LED"
"ACER","KA272bmix","LED"
"ACER","KA272","LED"
"ACER","UM.HX2EE.012","LED"
"ACER","UM.JX2EE.P08","LED"
"ACER","Nitro XV322QUP","LED"
"ACER","XV240YPbmiiprx","LED"
"ACER","Nitro XV240YP","LED"
"ACER","UM.QX0EE.P01","LED"
"ACER","XV270bmiprx","LED"
"ACER","Nitro XV270","LED"
"ACER","UM.HX0EE.015","LED"
"ACER","XV270Pbmiiprx","LED"
"ACER","Nitro XV270P","LED"
"ACER","UM.HX0EE.P04","LED"
"ACER","XV340CKPbmiipphzx","LED"
"ACER","Nitro XV340CKP","LED"
"ACER","UM.CX0EE.P05","LED"
"ACER","CB342CKCsmiiphuzx","LED"
"ACER","CB342CKC","LED"
"ACER","UM.CB2EE.C01","LED"
"ACER","XB253QGZbmiiprzx","LED"
"ACER","Predator XB253QGZ","LED"
"ACER","KG251QJbmidpx","LED"
"ACER","KG251QJ","LED"
"ACER","UM.KX1EE.J01","LED"
"ACER","KG271Pbmidpx","LED"
"ACER","KG271P","LED"
"ACER","UM.HX1EE.P01","LED"
"ACER","UM.KX3EE.Z01","LED"
"ACER","KG241QSbiip","LED"
"ACER","KG241QS","LED"
"ACER","UM.UX1EE.S01","LED"
"ACER","VG240YSbmiipx","LED"
"ACER","Nitro VG240YS","LED"
"ACER","UM.QV0EE.S01","LED"
"ACER","VG242YPbmiipx","LED"
"ACER","VG242YP","LED"
"ACER","UM.QV2EE.P01","LED"
"ACER","VG280Kbmiipx","LED"
"ACER","VG280K","LED"
"ACER","UM.PV0EE.001","LED"
"ACER","XB273UGSbmiiprzx","LED"
"ACER","XB273UGS","LED"
"ACER","UM.HX0EE.S01","LED"
"ACER","XB253QGXbmiiprzx","LED"
"ACER","Predator XB253QGX","LED"
"ACER","UM.KX3EE.X07","LED"
"ACER","XB253QGPbmiiprzx","LED"
"ACER","Predator XB253QGP","LED"
"ACER","UM.KX3EE.P14","LED"
"ACER","UM.KX3EE.P08","LED"
"ACER","XZ242QPbmiiphx","LED"
"ACER","Nitro XZ242QP","LED"
"ACER","UM.UX2EE.P01","LED"
"ACER","XZ272UPbmiiphx","LED"
"ACER","Nitro XZ272UP","LED"
"ACER","UM.HX2EE.P13","LED"
"ACER","XZ322QUPbmiiphx","LED"
"ACER","Nitro XZ322QUP","LED"
"ACER","UM.JX2EE.P04","LED"
"ACER","ED320QRPbiipx","LED"
"ACER","ED320QRP","LED"
"ACER","UM.JE0EE.P01","LED"
"ACER","ED270RPbiipx","LED"
"ACER","ED270RP","LED"
"ACER","UM.HE0EE.P01","LED"
"ACER","EK240YAbi","LED"
"ACER","EK240YA","LED"
"ACER","UM.QE0EE.001","LED"
"ACER","UM.QE0EE.A01","LED"
"ACER","EK220QAbi","LED"
"ACER","EK220QA","LED"
"ACER","UM.WE0EE.A01","LED"
"ACER","XV322QUPbmiipphzx","LED"
"ACER","XV272UXbmiipruzx","LED"
"ACER","UM.HX2EE.X04","LED"
"ACER","RG271Pbiipx","LED"
"ACER","RG271P","LED"
"ACER","UM.HR1EE.P01","LED"
"ACER","CP3271UV","LED"
"ACER","ConceptD CP3","LED"
"ACER","UM.HC1EE.V05","LED"
"ACER","UM.HV1EE.P01","LED"
"ACER","Nitro VG1 VG271UP","LED"
"ACER","XB273KGPbmiipprzx","LED"
"ACER","Predator XB273KGP","LED"
"ACER","UM.HX3EE.P13","LED"
"ACER","UM.JE2EE.C01","LED"
"ACER","VG271UPbmiipx","LED"
"ACER","VG272LVbmiipx","LED"
"ACER","VG272LV","LED"
"ACER","UM.HV2EE.V01","LED"
"ACER","UM.WE2EE.001","LED"
"ACER","EB222Qb","LED"
"ACER","UM.QR1EE.012","LED"
"ACER","RC241YU","LED"
"ACER","RC241YUsmidpx","LED"
"ACER","UM.HX0EE.C03","LED"
"ACER","XF270HUC","LED"
"ACER","XF270HUCbmiiprzx","LED"
"ACER","R240Ysi","LED"
"ACER","UM.QR0EE.015","LED"
"ACER","UM.QV0EE.004","LED"
"ACER","Nitro VG240Y","LED"
"ACER","VG240Ybmipcx","LED"
"ACER","UM.KX1EE.D01","LED"
"ACER","KG241YUbmiipx","LED"
"ACER","UM.QX1EE.006","LED"
"ACER","ET322QKC","LED"
"ACER","ET322QKCbmiipzx","LED"
"ACER","UM.HR1EE.B01","LED"
"ACER","R271B Noir","LED"
"ACER","R271Bbmix","LED"
"ACER","UM.KX3EE.X01","LED"
"ACER","Predator XN3","LED"
"ACER","UM.WX2EE.A01","LED"
"ACER","V247Ybi","LED"
"ACER","UM.QV7EE.001","LED"
"ACER","XN253QXbmiprzx","LED"
"ACER","UM.MD1EE.002","LED"
"ACER","DM431K","LED"
"ACER","KG251QD","LED"
"ACER","KG251QDbmiipx","LED"
"ACER","DM431Kbmiiipx","LED"
"ACER","UM.JE2EE.P01","LED"
"ACER","UM.HE0EE.P10","LED"
"ACER","ED270UP","LED"
"ACER","ED270UPbiipx","LED"
"ACER","V226HQLBbid","LED"
"ACER","UM.WV6AA.B06","LED"
"ACER","UM.CE7AA.001","LED"
"ACER","UM.CE7EE.001","LED"
"ACER","ED347CKRbmidprzx","LED"
"ACER","ED347CKRbmidphzx","LED"
"ACER","UM.PB1EE.A01","LED"
"ACER","CB281HK","LED"
"ACER","CB281HKAbmiiprx","LED"
"ACER","K242HYLHbi","LED"
"ACER","K242HYLH","LED"
"ACER","UM.UV6EE.C01","LED"
"ACER","V246HQLC","LED"
"ACER","V246HQLCbd","LED"
"ACER","UM.QX2EE.H01","LED"
"ACER","UM.FS1EE.C01","LED"
"ACER","S241HLC","LED"
"ACER","S241HLCbid","LED"
"ACER","UM.HX3EE.P02","LED"
"ACER","UM.HX3EE.P01","LED"
"ACER","Predator XB273KP","LED"
"ACER","XB273KPbmiphzx","LED"
"ACER","UM.HX2EE.P04","LED"
"ACER","Nitro XF272UP","LED"
"ACER","XF272UPbmiiprzx","LED"
"ACER","UM.HX2EE.P02","LED"
"ACER","UM.HX2EE.P01","LED"
"ACER","Nitro XV272UP","LED"
"ACER","XV272UPbmiiprzx","LED"
"ACER","UM.HX0EE.D01","LED"
"ACER","KA270HD","LED"
"ACER","KA270HDbi","LED"
"ACER","B248Ybemiqprcuzx","LED"
"ACER","B248Y","LED"
"ACER","UM.FB6EE.038","LED"
"ACER","B246HLwmdpr","LED"
"ACER","UM.QB8EE.001","LED"
"ACER","CB272Usmiiprx","LED"
"ACER","CB272U","LED"
"ACER","UM.HV7EE.001","LED"
"ACER","V277","LED"
"ACER","V277bi","LED"
"ACER","UM.HB2EE.016","LED"
"ACER","UM.HX1EE.A15","LED"
"ACER","KG271UA","LED"
"ACER","KG271UAbmiipx","LED"
"ACER","UM.HB7EE.021","LED"
"ACER","UM.HB7EE.011","LED"
"ACER","B277U","LED"
"ACER","B277Ubmiipprczx","LED"
"ACER","UM.UE2EE.004","LED"
"ACER","ED242QR","LED"
"ACER","UM.CX2EE.P05","LED"
"ACER","Nitro XZ342CKP","LED"
"ACER","XZ342CKPbmiiphx","LED"
"ACER","UM.HC1EE.V01","LED"
"ACER","ConceptD CP5","LED"
"ACER","CP5271UV","LED"
"ACER","AL1515s","CCFL"
"ACER","ET.L2202.195","CCFL"
"ACER","ED242QRbi","LED"
"ACER","UM.WV6EE.A19","LED"
"ACER","V226HQLAbmid ","LED"
"ACER","UM.VS0EE.A01","LED"
"ACER","SA230A","LED"
"ACER","SA230Abi","LED"
"ACER","UM.HV0EE.010","LED"
"ACER","Nitro VG270K","LED"
"ACER","VG270Kbmiipx","LED"
"ACER","XF243YPbmiiprx","LED"
"ACER","Nitro XF243YP","LED"
"ACER","UM.QX3EE.P01","LED"
"ACER","XB253QGWbmiiprzx","LED"
"ACER","Predator XB253QGW","LED"
